epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,val_ema_loss,val_ema_acc,val_ema_prec,val_ema_rec,val_ema_f1,epoch_time_seconds
1,2.9999999999999997e-05,1.24590863772801,0.4360632183908046,0.4298333102175135,0.4357235395500233,0.4154255865620365,1.0154822754859925,0.65625,0.7020625652829473,0.65625,0.6237393987947462,1.3337019443511964,0.5375,0.4489116309291748,0.5375,0.4758535553186578,160.02993202209473
2,8.4e-05,1.1051787512642997,0.4992816091954023,0.4894148854252644,0.49953541445235244,0.49036523615120436,0.8639198434352875,0.7675,0.7676393732442119,0.7675000000000001,0.760615300840965,1.2312236785888673,0.67125,0.7256759111772935,0.67125,0.6449089438669577,169.8040599822998
3,0.00013799999999999997,1.0502702140808104,0.5542385057471264,0.5538710679467527,0.5544535238001274,0.5478919226935459,0.8125922191143036,0.75125,0.7627853591518812,0.75125,0.7408388634816316,1.0983148288726807,0.70875,0.7491198608610421,0.70875,0.6974739518416049,142.60092997550964
4,0.00019199999999999998,1.0500370734078543,0.5492097701149425,0.5454620389023805,0.5495045466758396,0.5428178649473967,0.8122733557224273,0.75625,0.755254261176924,0.75625,0.7515869509110154,0.9870796346664429,0.74375,0.7615723707187123,0.7437499999999999,0.735848658614709,155.62495875358582
5,0.00024599999999999996,1.0025706618172783,0.5797413793103449,0.5760867784432089,0.579795702464282,0.5762283528129518,0.7773523902893067,0.77625,0.8181823606635636,0.77625,0.7584950474728893,0.9173372340202331,0.75875,0.7647283020693424,0.75875,0.7499630202958376,150.24580883979797
6,0.0003,0.9733918448856899,0.5344827586206896,0.5357118839518736,0.5344946879284778,0.5310578456180326,0.758261843919754,0.7375,0.7850223119260475,0.7374999999999999,0.7211521685002078,0.8632588624954224,0.79,0.7978165924524258,0.79,0.7851884570671788,137.67668890953064
7,0.0002988172051971717,0.9423214837482997,0.5818965517241379,0.5818016956663448,0.581677414041187,0.577949673650798,0.7016584384441376,0.8375,0.8560435327764357,0.8374999999999999,0.8405893225298575,0.813055248260498,0.8075,0.8137559080626767,0.8075,0.8052500262576203,125.53384184837341
8,0.00029528747416929463,0.9116552904673985,0.6228448275862069,0.6254503654645447,0.6227014145032161,0.6216231179115199,0.7367659473419189,0.81375,0.8237269660875648,0.81375,0.8173305195328168,0.7672671699523925,0.825,0.82846737662619,0.8250000000000001,0.8231999257199696,126.31984400749207
9,0.00028946647288323766,0.8780242701939174,0.6170977011494253,0.6143117442650083,0.6172995183304815,0.6136847132362853,0.6932361531257629,0.77125,0.8216614290019215,0.77125,0.7564780352260166,0.7336799347400665,0.8275,0.8284775391570751,0.8275,0.8264634773730752,128.83490371704102
10,0.0002814460020065795,0.8640223503112793,0.6447557471264368,0.6410116773105272,0.6446963634255435,0.6408767191028524,0.6737041783332824,0.82875,0.8337539864702805,0.82875,0.8286527758216333,0.71108069896698,0.835,0.8354704587664252,0.8350000000000001,0.8340015099888702,125.4161012172699
11,0.0002713525491562421,0.8472162880216326,0.6296695402298851,0.6313868471347005,0.6298217864418569,0.6295045402220385,0.6811445236206055,0.81625,0.8201896599818971,0.81625,0.8150025526864377,0.6971730768680573,0.82125,0.8233241380762215,0.82125,0.8199792971165667,125.55013680458069
12,0.0002593452941132117,0.8332468026024955,0.6594827586206896,0.658069042422793,0.6594033769669565,0.6572262120123359,0.7151290738582611,0.78,0.8007821000577805,0.7799999999999999,0.7604877419596776,0.6891725468635559,0.805,0.8099717368051675,0.8049999999999999,0.8020442368426095,131.05278205871582
13,0.0002456135984623034,0.818794811793736,0.6357758620689655,0.6359491002440167,0.6355669771124897,0.6349394138009933,0.6823293089866638,0.79,0.802556955377442,0.79,0.7762409071618608,0.6853535389900207,0.78375,0.7930205975640735,0.7837500000000001,0.7774239403474755,136.03505492210388
14,0.00023037401924684946,0.8375962659290859,0.6501436781609196,0.6472500248374706,0.6499584900013574,0.6467588397942569,0.6629648005962372,0.77625,0.7863452868449344,0.7762500000000001,0.7664417319568344,0.6799793350696564,0.7775,0.7877376940056479,0.7775000000000001,0.7686770339551433,119.57529592514038
15,0.00021386689373476087,0.7860623611722674,0.6716954022988506,0.6713535722301149,0.6713962413963445,0.6704887614673021,0.6593676030635833,0.79,0.8027535331930407,0.79,0.7756290346137787,0.6714251482486725,0.775,0.7824814814814814,0.775,0.7656955303441042,124.97498488426208
16,0.0001963525491562421,0.8194643892560687,0.6447557471264368,0.6446994084497788,0.6446906719567743,0.6439564070794591,0.6263518965244294,0.78625,0.7955024503186099,0.78625,0.7842645040189652,0.665849186182022,0.775,0.7831762855978102,0.775,0.7646502815512287,119.82606816291809
17,0.0001781071971878587,0.7822981766292028,0.6774425287356322,0.6768965686948307,0.6773693864787628,0.6759889450914668,0.6732397282123566,0.79125,0.8048648074081096,0.79125,0.7769994814111577,0.6583029389381408,0.77625,0.7826785579115833,0.77625,0.767720306444338,119.57998490333557
18,0.000159418577929397,0.7721644524165562,0.7076149425287356,0.7067258374866456,0.7075527407688453,0.7070452191984373,0.6331977808475494,0.80625,0.8347795447932711,0.8062499999999999,0.7934920488602399,0.6515038287639618,0.7725,0.7774866437875567,0.7725000000000001,0.7638756322975784,121.69830298423767
19,0.000140581422070603,0.7552088931628635,0.6954022988505747,0.6956331511292396,0.6954446311592113,0.6953335046767537,0.6045704984664917,0.86375,0.8594975942034839,0.86375,0.8604707229080636,0.6424549102783204,0.7775,0.7815498477611776,0.7775000000000001,0.7697671697671697,121.23463010787964
20,0.00012189280281214126,0.7378104870659964,0.7033045977011494,0.7041328281602649,0.7032443772385248,0.7033715118163364,0.5880547082424163,0.85,0.8552911498960889,0.85,0.8471899505112155,0.6360316836833954,0.7825,0.7871198589466305,0.7825,0.7751436159324491,108.25602507591248
21,0.0001036474508437579,0.7444413529123579,0.7205459770114943,0.7199883532940202,0.7206914815436128,0.720037989297486,0.617794668674469,0.8425,0.8644833501887398,0.8425,0.8335600610436396,0.6263938748836517,0.79375,0.7974782954600106,0.79375,0.7879779211617998,108.89305520057678
22,8.613310626523909e-05,0.7087630837304252,0.6925287356321839,0.6922215358649859,0.6925612908020446,0.691682857992611,0.5745208477973938,0.855,0.8569497844944755,0.855,0.8558100376209321,0.6162048220634461,0.80375,0.8081345152464586,0.80375,0.8000951077288111,108.90496373176575
23,6.962598075315046e-05,0.7011068861825126,0.7101293103448276,0.7117962191083893,0.7102252239213861,0.7104354685122497,0.5457429325580597,0.88375,0.8817140665473198,0.88375,0.8824087766338291,0.6063005030155182,0.825,0.8275241000042187,0.825,0.8226637728795236,113.7297990322113
24,5.4386401537696536e-05,0.6718696212768555,0.7291666666666666,0.7284992246563625,0.7292662283372728,0.7287285166727837,0.5627591574192047,0.8775,0.8865562248995984,0.8775,0.8773401139558712,0.5955340218544006,0.84,0.8408631226073509,0.84,0.838146076400178,107.5054771900177
25,4.06547058867883e-05,0.6924900794029236,0.7130028735632183,0.7127246552530251,0.7131806014666702,0.7123746915605395,0.5646966886520386,0.875,0.8728305519897304,0.875,0.873713200379867,0.5882636475563049,0.84875,0.8495479553713087,0.84875,0.8469545065982796,106.27768206596375
26,2.8647450843757897e-05,0.6988048224789756,0.7058189655172413,0.7043331393568,0.7058651478362157,0.7046825731332416,0.5740698635578155,0.8525,0.8548307742072585,0.8525,0.8510224378988522,0.5811829018592835,0.85625,0.8551658507180793,0.85625,0.8542531468913324,106.61192178726196
27,1.8553997993420495e-05,0.6825763617243086,0.7561063218390804,0.7578577293167077,0.7558247783644347,0.7562365334050088,0.5548515498638154,0.875,0.8722792209749038,0.875,0.8732612551585576,0.5765916299819946,0.85875,0.8579376172629868,0.85875,0.8567859033307789,108.43129992485046
28,1.0533527116762296e-05,0.7156415322848729,0.7209051724137931,0.7219176714870403,0.7206661472049358,0.7209279965868017,0.5467354273796081,0.88,0.8771651294477928,0.88,0.8782721277054951,0.5722891545295715,0.8625,0.8611404245829368,0.8625,0.8606001684859315,110.24691724777222
29,4.712525830705338e-06,0.6383771644319807,0.7543103448275862,0.7540949867832052,0.7542053226614596,0.7540697059425621,0.544777398109436,0.88,0.8772526444788442,0.88,0.8783734272489234,0.5673080432415009,0.865,0.8637508680337105,0.865,0.8633368397475075,111.6856620311737
30,1.1827948028283352e-06,0.6359241870471409,0.7295258620689655,0.7312145661856595,0.7296504989961775,0.730157512876599,0.5468466234207153,0.88125,0.8788119256229511,0.88125,0.8797979716961305,0.5630877935886383,0.86875,0.8671906352430923,0.8687499999999999,0.8672621605755702,104.86572170257568
